weather_desc,is_member,duration_mean,count,start_station_name,end_station_name
mist,Y,32.166666666666664,1,Drake / de Sève,Ryde / Charlevoix
mist,Y,3.5166666666666666,1,Fabre / Beaubien,Cartier / Bélanger
sky is clear,Y,13.85,1,Émile-Duployé / Sherbrooke,Chambord / Beaubien
rain,Y,2.4291666666666667,8,Cartier / Masson,Marquette / Laurier
cloudy,Y,16.194444444444443,3,Laval / Rachel,de la Gauchetière / Mansfield
sky is clear,Y,20.033333333333335,1,Square Sir-Georges-Étienne-Cartier / Léa Roback,Drummond / de Maisonneuve
mist,Y,11.386111111111111,6,Laurier / 15e avenue,16e avenue / St-Joseph
sky is clear,Y,15.483333333333333,3,Alexandre-DeSève / de Maisonneuve,Metcalfe / Square Dorchester
cloudy,Y,31.983333333333334,1,St-Dominique / Jean-Talon,Métro Place-d'Armes (Viger / St-Urbain)
cloudy,Y,23.1,1,de l'Hôtel-de-Ville / Ste-Catherine,Marquette / St-Grégoire
rain,Y,10.492857142857142,7,Milton / Durocher,Duluth / St-Denis
mist,N,5.4,1,Ste-Catherine / St-Denis,Alexandre-de-Sève / la Fontaine
cloudy,Y,14.25,1,du Mont-Royal / Clark,de Gaspé / Marmier
rain,N,8.716666666666667,1,Ste-Famille / Sherbrooke,Calixa-Lavallée / Sherbrooke
cloudy,Y,9.816666666666666,1,Parc Jeanne Mance (monument George-Étienne Cartier),St-Urbain / Beaubien
cloudy,Y,17.2,1,St-Viateur/Parc,Marquette / St-Grégoire
cloudy,Y,16.666666666666668,1,Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),Métro St-Michel (Shaughnessy / St-Michel)
sky is clear,Y,23.583333333333332,1,7e avenue / St-Joseph,Roy / St-Laurent
cloudy,N,10.383333333333333,1,de Bordeaux / Beaubien,du Rosaire / St-Hubert
cloudy,N,28.85,1,St-Jacques / St-Laurent,du Rosaire / St-Hubert
